customer_id,first_name,last_name,email,country,city,signup_date,age,gender,employment_status,annual_income,customer_segment,kyc_status,is_duplicate_profile
100000,Daan,Garcia,user100000@example.com,Netherlands,Berlin,2022-12-20,38,Female,Employed,23766.56,Mass Market,Pending,False
100001,Anna,Jansen,user100001@example.com,Italy,Stockholm,2023-03-21,60,Male,Employed,33523.91,Retiree,Verified,False
100002,Liam,Martin,user100002@example.com,Germany,Dublin,2024-03-03,51,Male,Unemployed,31849.61,Mass Market,Rejected,False
100003,Leo,Andersson,user100003@example.com,France,Dublin,2023-05-30,28,Female,Employed,72269.58,Young Professional,Verified,False
100004,Anna,Silva,user100004@example.com,Sweden,Amsterdam,2023-08-17,24,Male,Employed,44125.33,Young Professional,Verified,False
100005,Julia,Nowak,user100005@example.com,Belgium,Brussels,2024-03-17,20,Female,Employed,,Student,Verified,False
100006,Sofia,Rossi,user100006@example.com,Belgium,Paris,2023-02-03,44,Male,Student,55226.92,Mass Market,Verified,False
100007,Finn,Dubois,user100007@example.com,The Netherlands,Stockholm,2024-05-13,24,Female,Employed,21022.37,Student,Verified,False
100008,Anna,Jansen,user100008@example.com,Netherlands,Paris,2024-05-05,60,Female,Employed,42643.07,Retiree,Verified,False
100009,Julia,Nowak,user100009@example.com,Belgium,Paris,2022-09-07,29,Male,Employed,35465.5,Young Professional,Verified,False
100010,Leo,Muller,user100010@example.com,France,Stockholm,2023-02-03,42,Male,Employed,20810.32,Mass Market,Verified,False
100011,Liam,Muller,user100011@example.com,Italy,Brussels,2024-05-02,31,Male,Employed,81654.67,Young Professional,Verified,False
100012,Emma,Silva,user100012@example.com,Germany,Milan,2022-02-21,53,Female,Unemployed,,Mass Market,Verified,False
100013,Julia,Garcia,user100013@example.com,Netherlands,Berlin,2022-05-23,44,Male,Employed,,Mass Market,Verified,False
100014,Finn,Martin,user100014@example.com,Germany,Rotterdam,2023-04-25,32,Female,Employed,,Young Professional,Verified,False
100015,Mila,Jansen,user100015@example.com,Ireland,Rotterdam,2022-06-29,45,Male,,25265.28,Mass Market,Verified,False
100016,Leo,Dubois,user100016@example.com,Netherlands,Berlin,2024-07-08,25,Female,Employed,36672.64,Young Professional,Verified,False
100017,Liam,Rossi,user100017@example.com,Belgie,Warsaw,2022-03-01,34,Male,Employed,24155.91,Mass Market,Verified,False
100018,Liam,Andersson,user100018@example.com,Poland,Paris,2022-02-10,43,Female,Employed,3313.77,SMB Owner,Verified,False
100019,Sara,Rossi,user100019@example.com,Netherlands,Dublin,2023-08-26,36,Male,Employed,22584.86,SMB Owner,Verified,False
100020,Sara,Andersson,user100020@example.com,Spain,Rotterdam,2023-03-17,40,Male,Self-employed,162619.77,Premium,Verified,False
100021,Noah,Andersson,user100021@example.com,Poland,Stockholm,2023-03-06,47,Female,Student,46664.76,Mass Market,Verified,False
100022,Sofia,Silva,user100022@example.com,Netherlands,Milan,2022-11-08,64,Female,Employed,146248.41,Premium,Verified,False
100023,Julia,Smit,user100023@example.com,Spain,Milan,2022-01-19,28,Male,Unemployed,36067.83,Young Professional,Verified,False
100024,Leo,Jansen,user100024@example.com,Ireland,Paris,2023-05-01,40,Male,Employed,44882.82,SMB Owner,Verified,False
100025,Emma,Nowak,user100025@example.com,Netherlands,Stockholm,2023-03-17,30,Female,Retired,49213.79,Young Professional,Verified,False
100026,Anna,Andersson,user100026@example.com,BE,Warsaw,2022-01-11,20,Female,Employed,14004.86,Student,Verified,False
100027,Lucas,Muller,user100027@example.com,Italy,Paris,2022-04-30,60,Male,Student,40488.22,Retiree,Verified,False
100028,Liam,Garcia,user100028@example.com,FR,Milan,2022-12-17,39,Female,Employed,37815.53,Mass Market,Verified,False
